Id,Squarefoot,Bathrooms,Bedrooms,SalePrice
1548,6000,2,3,168173.9433
1549,6240,1,2,157580.1776
1550,6240,2,4,181922.1526
1551,6120,2,2,155134.2278
1552,8094,2,4,188885.5733
1553,12900,2,3,183963.193
1554,3068,2,3,161298.7623
1555,15263,2,3,188613.6676
1556,10632,2,3,175080.1118
1557,9900,2,3,174744.4003
1558,6001,1,3,168175.9113
1559,6449,2,4,182333.4726
1560,6048,3,2,158307.2067
1561,10773,4,4,193053.0555
1562,7800,2,3,175031.09
1563,7832,2,2,160713.2946
1564,7424,2,3,173186.215
1565,11227,2,4,191736.7598
1566,20062,3,1,170401.631
1567,9259,1,2,164626.5779
1568,17082,4,4,205469.4094
1569,18600,3,4,209561.7842
1570,11479,2,3,182271.5031
1571,9350,1,3,178081.5494
1572,9525,2,3,178425.9561
1573,17485,2,1,162015.3185
1574,11200,2,3,181722.4204
1575,11980,3,1,156705.7302
1576,12361,4,3,182902.4203
1577,7360,2,2,157574.5954
1578,14235,2,3,184380.7391
1579,11105,2,2,169364.4692
1580,9337,3,3,175846.1798
1581,15240,3,3,189673.2953
1582,7480,2,3,174401.3177
1583,10389,4,3,179021.4487
1584,9375,3,4,189196.8453
1585,4435,2,1,139647.0957
1586,8777,1,2,161468.1983
1587,8842,1,3,171557.3232
1588,10044,2,3,179447.368
1589,11792,1,2,169611.619
1590,6305,2,3,172088.8727
1591,6410,1,3,171190.6241
1592,4853,2,2,154850.5084
1593,7890,2,2,158617.6557
1594,7200,3,6,209258.3369
1595,9839,2,3,177939.0276
1596,10452,3,4,194631.1003
1597,15600,3,5,213618.8716
1598,19645,4,3,198342.5042
1599,3907,2,1,138607.9715
1600,3907,2,2,150778.959
1601,8154,1,1,146966.2303
1602,9140,1,2,162182.5962
1603,8712,1,3,176825.941
1604,3811,4,2,152799.8124
1605,11050,4,3,180322.3221
1606,9620,3,3,177508.0272
1607,12760,3,5,208029.6427
1608,11896,3,3,181987.2825
1609,9803,2,2,160172.728
1610,9802,3,3,176761.3177
1611,15300,2,2,176515.4975
1612,10114,2,3,176270.4531
1613,11875,2,3,183050.8463
1614,2394,3,2,150011.1021
1615,1476,2,3,159270.5378
1616,1900,2,3,163419.6637
1617,1890,2,3,163399.9833
1618,6953,1,3,173364.1615
1619,12887,2,2,169556.8359
1620,7700,6,4,183690.596
1621,10475,2,3,176980.9149
1622,10544,2,5,204773.3622
1623,9892,5,3,174728.656
1624,12961,4,3,181873.4582
1625,13008,1,2,177322.0008
1626,10200,3,4,193927.939
1627,10179,3,3,181715.6227
1628,11792,3,4,199270.8412
1629,8400,3,3,177109.59
1630,7296,3,1,153909.5783
1631,7380,3,2,162931.2033
1632,8013,3,2,166386.7567
1633,8923,3,3,173719.3038
1634,7500,4,3,179757.9257
1635,8803,4,3,179007.602
1636,7250,2,3,180370.8086
1637,11900,4,3,185102.6167
1638,13250,3,4,198825.5635
1639,10928,2,3,184294.576
1640,12388,3,4,200443.7921
1641,11088,2,3,181294.7845
1642,7000,4,3,174354.3363
1643,7500,3,3,172023.6778
1644,8470,3,3,181666.9229
1645,9373,3,3,179024.4913
1646,10140,3,3,178324.1916
1647,11050,2,3,184534.6767
1648,7830,2,2,159397.2504
1649,8510,3,3,178430.9667
1650,7038,2,3,177743.7994
1651,9000,1,3,179395.3055
1652,1680,3,2,151713.3847
1653,1680,3,2,151713.3847
1654,2308,3,3,168434.978
1655,2280,3,2,153999.1003
1656,2349,3,3,164096.0974
1657,2364,4,3,166335.403
1658,2364,3,3,163020.7254
1659,2104,2,2,155862.5107
1660,10710,2,3,182760.6511
1661,14257,5,4,201912.2706
1662,12350,4,3,185988.234
1663,12350,3,3,183778.4489
1664,13693,5,2,170935.8592
1665,11578,2,3,184468.9084
1666,16870,3,3,191569.0897
1667,23303,4,5,232991.0256
1668,10367,3,3,180980.7214
1669,10872,3,2,164279.1305
1670,13514,3,3,183859.4604
1671,12878,3,3,185922.4657
1672,15274,4,3,191742.7781
1673,13262,4,4,199954.0725
1674,9658,2,3,180690.2748
1675,6904,2,2,163099.3096
1676,5122,3,1,140791.9225
1677,10307,3,2,166481.8665
1678,14836,4,2,172080.4345
1679,15262,4,3,191719.1617
1680,7390,3,2,160741.0986
1681,6472,2,2,157829.5469
1682,16770,3,3,196896.7486
1683,3480,2,2,159675.424
1684,10928,3,3,182084.7909
1685,8918,3,3,179233.9264
1686,3182,2,2,155774.2709
1687,9434,3,3,181354.3267
1688,7984,3,3,179605.5637
1689,10125,3,3,181609.3487
1690,8965,4,3,178221.5316
1691,8174,4,3,175559.9207
1692,12891,4,4,200328.8228
1693,9734,3,3,178630.0606
1694,8433,4,3,177174.5352
1695,7750,3,3,172515.6874
1696,15896,4,4,204032.9929
1697,7848,3,3,176023.2328
1698,12720,4,4,202202.0733
1699,10750,3,3,181734.4801
1700,9085,4,3,183982.159
1701,11692,4,3,188007.9424
1702,11194,2,3,185922.9668
1703,10206,3,3,183978.5449
1704,10130,3,3,177199.6186
1705,9139,2,3,181878.648
1706,11128,3,2,173622.0887
1707,7993,2,3,180728.1686
1708,8640,2,3,176477.0266
1709,12606,2,3,184282.2667
1710,7500,2,2,162062.4754
1711,10603,4,3,182550.071
1712,8125,2,3,180987.9496
1713,10625,3,3,178173.7976
1714,8736,3,3,179980.6359
1715,8127,4,3,173257.6378
1716,9605,2,3,177271.2911
1717,7500,3,3,175338.3554
1718,7500,2,3,177548.1405
1719,10628,3,3,175969.9166
1720,10141,2,3,175011.482
1721,13072,2,3,185199.3726
1722,13072,2,3,188514.0502
1723,12450,3,3,185080.1453
1724,7328,2,2,157304.4026
1725,11492,4,4,194260.8595
1726,7703,3,3,181262.33
1727,7175,2,2,157003.2927
1728,9109,4,3,182924.4994
1729,10274,3,3,181902.5864
1730,8250,2,4,188985.3717
1731,9750,2,3,185290.9045
1732,8499,2,3,177304.4258
1733,9079,1,2,166274.9005
1734,9316,2,3,177807.4205
1735,7791,2,3,180330.6248
1736,7150,2,3,179069.1122
1737,15676,3,2,175943.3718
1738,11949,4,3,185199.0506
1739,2880,3,3,167350.9108
1740,3830,3,2,149315.3119
1741,4217,3,1,139010.8478
1742,2998,4,2,155412.1518
1743,3768,4,3,171308.314
1744,14694,3,2,176220.5433
1745,15417,2,2,177643.435
1746,9600,3,4,187222.6533
1747,12732,3,3,185635.1321
1748,10400,3,5,206492.5342
1749,9600,3,3,181681.0211
1750,9000,2,3,180500.1981
1751,13774,3,4,206486.1709
1752,7130,2,2,161334.3012
1753,9600,2,3,176156.5583
1754,9600,4,4,191642.2235
1755,16500,3,3,191945.808
1756,7436,2,2,164146.306
1757,8125,1,3,179883.0571
1758,9450,2,3,178071.1377
1759,13495,3,3,188241.6379
1760,9350,3,3,174559.6562
1761,10500,3,3,182347.363
1762,8970,3,4,191507.2519
1763,11475,2,4,199751.8656
1764,9768,2,2,162106.4161
1765,9900,2,2,164575.9823
1766,10573,3,3,179176.3522
1767,14695,3,2,177327.4039
1768,8760,2,3,177818.0838
1769,12285,2,3,186965.204
1770,9240,3,3,178762.7422
1771,8750,2,3,183322.8661
1772,8750,2,3,178903.2959
1773,10400,2,3,186570.1294
1774,9482,2,4,199144.2428
1775,8128,2,3,172154.7133
1776,13070,1,2,177444.0192
1777,8480,2,2,166200.9381
1778,7626,2,2,158995.7706
1779,9533,2,2,168273.2825
1780,11419,3,3,189680.4531
1781,9600,1,3,181681.0211
1782,5470,1,2,160277.1426
1783,10800,3,4,197318.5472
1784,8146,1,2,162228.9356
1785,10230,1,3,187340.4555
1786,10410,2,3,181065.347
1787,7200,2,4,190233.6091
1788,5400,2,2,157929.5949
1789,10800,1,2,168557.0019
1790,10800,2,1,160805.5846
1791,9671,4,6,221648.392
1792,10143,2,3,180539.8808
1793,11500,2,3,182105.6163
1794,8010,2,2,166380.8526
1795,10454,1,3,178942.1556
1796,9000,1,2,162804.7478
1797,8064,1,3,183077.6844
1798,7350,1,3,171728.472
1799,7200,2,2,164786.7415
1800,8000,2,3,177427.2672
1801,10800,2,4,197318.5472
1802,8064,1,3,178658.1142
1803,7570,2,4,185437.3205
1804,8604,2,2,169759.6525
1805,7936,2,3,173986.6351
1806,4080,1,3,168607.6643
1807,10307,3,4,194138.5191
1808,15660,2,3,192502.4409
1809,9900,2,3,176746.9698
1810,6406,2,3,177604.8917
1811,7627,2,4,193283.7466
1812,10134,1,3,181627.061
1813,6000,2,3,169071.6203
1814,7404,1,2,167398.0065
1815,5925,1,1,150106.5051
1816,8520,1,2,159650.3043
1817,9600,2,3,179471.236
1818,8400,2,3,177109.59
1819,3600,2,3,166558.1133
1820,3300,1,2,153796.7143
1821,5400,1,3,174520.1526
1822,9720,1,4,196297.9583
1823,9392,1,2,169100.6816
1824,6615,1,3,176911.3192
1825,4960,2,3,169234.6455
1826,6000,1,3,172386.2979
1827,6120,1,2,156031.9048
1828,6120,2,3,168202.8923
1829,8635,2,2,166505.984
1830,8094,2,3,176507.3702
1831,9928,2,3,180116.7526
1832,3000,2,4,183072.7406
1833,6876,3,4,189595.9647
1834,5775,1,3,167523.9191
1835,5852,3,6,210817.7759
1836,5160,1,3,172942.9308
1837,5160,2,1,145286.2781
1838,10320,3,3,176468.6534
1839,4280,2,2,159040.0696
1840,10800,6,3,178518.2043
1841,10547,4,2,169163.9808
1842,9780,3,4,189786.6853
1843,11625,2,3,181246.7285
1844,8014,2,3,176349.9272
1845,15400,2,4,205266.631
1846,15312,2,3,187397.9934
1847,15584,3,4,208943.4277
1848,9000,1,2,165014.5329
1849,15635,1,2,182492.0376
1850,9571,2,2,161718.7126
1851,9350,2,3,180084.1189
1852,7440,2,3,178534.9508
1853,4235,3,2,151217.26
1854,10778,3,1,156342.7176
1855,19255,2,2,188511.4438
1856,10560,4,3,183570.3379
1857,26400,1,4,225810.1603
1858,7018,2,6,214217.4011
1859,7018,2,4,187665.641
1860,7040,4,2,161157.1777
1861,7007,2,4,187643.9926
1862,11855,8,6,228156.3728
1863,7939,8,6,220449.5347
1864,7976,8,6,220522.3521
1865,10933,3,1,156647.7635
1866,10816,3,3,187388.8334
1867,9178,2,3,178640.7238
1868,11422,3,3,180847.2167
1869,6762,3,2,159505.1705
1870,10324,3,2,164305.538
1871,11645,2,3,180181.1967
1872,11646,3,3,184602.735
1873,16698,4,3,193440.3722
1874,9757,2,3,184199.7882
1875,14753,3,3,196241.8929
1876,8750,4,3,175588.6183
1877,10739,3,3,179503.0465
1878,11166,2,3,183658.0766
1879,16269,1,3,193700.9763
1880,6950,2,2,165399.6245
1881,11664,3,3,186847.9448
1882,12334,3,4,198127.7329
1883,8749,3,3,183320.8981
1884,11250,3,3,181613.6067
1885,15750,3,2,178298.7918
1886,12782,3,3,185733.534
1887,8750,3,3,180008.1885
1888,10200,3,3,175127.5962
1889,11069,3,3,183467.1769
1890,10682,2,3,182705.546
1891,3675,2,2,152324.9436
1892,6410,1,3,169878.516
1893,11767,2,3,183735.9751
1894,10926,2,6,224118.2801
1895,11767,1,2,169355.2025
1896,8212,1,3,180054.2764
1897,6300,2,3,174081.602
1898,5707,2,3,168494.985
1899,8574,1,3,181871.5988
1900,7155,1,3,173554.4897
1901,13680,3,2,169805.3822
1902,14680,1,2,176192.9907
1903,8145,3,5,204264.3928
1904,9100,2,2,169630.907
1905,13339,3,3,185724.8388
1906,15600,3,3,195699.0363
1907,17500,3,3,189494.2762
1908,1733,1,2,149607.9057
1909,1488,3,2,154650.199
1910,1612,2,2,151579.5581
1911,13607,4,3,185147.3805
1912,17597,3,3,196314.5312
1913,8660,2,5,210802.3954
1914,10200,1,2,166271.2864
1915,3843,4,2,154865.3591
1916,21780,1,1,173575.5053
1917,10125,3,3,179399.5636
1918,9750,2,2,164280.7766
1919,9360,3,2,171247.4895
1920,11070,3,2,166878.5872
1921,13438,3,3,188129.4597
1922,14463,3,3,183517.3437
1923,9839,3,3,175522.0269
1924,14419,5,3,190060.1053
1925,9157,3,3,174179.8248
1926,12633,3,2,171059.5237
1927,12518,1,3,183004.1868
1928,13383,2,3,183601.6474
1929,7689,2,2,163539.3272
1930,7706,2,2,164677.6764
1931,7669,2,2,162395.0739
1932,10429,2,3,182207.6323
1933,10457,2,4,192223.9398
1934,8702,3,3,176391.8294
1935,8139,3,3,181913.1791
1936,9535,3,3,179136.0979
1937,15038,3,3,196595.5682
1938,14137,3,3,194822.3657
1939,6264,3,1,148356.6694
1940,5070,2,2,160387.6043
1941,11184,3,3,181276.5006
1942,14067,4,3,192474.8179
1943,5950,3,2,157699.9078
1944,13543,4,5,215785.5408
1945,15401,3,2,181824.301
1946,31220,1,3,221813.0095
1947,8118,3,2,165281.2926
1948,47280,3,3,255629.4905
1949,12680,3,2,173154.591
1950,10825,3,3,183884.6525
1951,18559,3,3,200210.3536
1952,14450,3,3,186599.2213
1953,13068,3,3,192718.5327
1954,10400,3,3,178628.666
1955,9743,2,3,180650.3424
1956,12511,4,4,206003.1079
1957,10400,2,2,166457.6784
1958,14311,4,4,202916.2217
1959,9000,4,4,192463.97
1960,10295,1,2,171775.4972
1961,7560,2,3,175249.2221
1962,1680,3,2,147086.5989
1963,1890,2,2,149709.6721
1964,1680,3,3,171411.4045
1965,2308,3,4,178188.9648
1966,2529,2,2,156491.7114
1967,12704,3,3,180953.2412
1968,13693,4,4,203909.7591
1969,14418,3,2,175470.1491
1970,13418,4,4,205578.3336
1971,12539,4,4,199428.8577
1972,12151,4,3,187599.1639
1973,8899,3,4,192265.1981
1974,10574,4,4,196666.5549
1975,12720,4,1,155537.8623
1976,10845,3,2,169543.2406
1977,16900,4,4,202487.0102
1978,16451,3,4,208232.7163
1979,10110,3,2,173621.1952
1980,12304,2,2,172414.6086
1981,8232,3,2,164400.7564
1982,6240,3,2,160480.424
1983,6240,2,2,156060.8538
1984,2448,3,2,157437.1928
1985,3940,3,2,158163.7209
1986,3940,3,2,154849.0433
1987,3710,2,2,152186.6093
1988,9024,3,3,180340.2154
1989,8010,3,3,178344.6245
1990,8396,3,4,190170.3823
1991,7301,3,2,168092.9755
1992,8220,3,3,178757.9126
1993,7750,3,3,174518.2569
1994,12460,3,4,198168.4901
1995,8390,3,3,176882.694
1996,9660,3,3,183801.6729
1997,11000,3,4,196400.0467
1998,11675,3,2,172281.605
1999,10990,4,4,196380.3663
2000,11929,3,4,198228.3543
2001,10010,4,4,195556.5813
2002,13253,3,3,186453.2645
2003,9801,3,3,181869.3812
2004,9428,4,3,175610.8401
2005,10037,2,3,183438.7308
2006,8640,2,3,179584.4887
2007,10625,2,3,182386.1522
2008,7500,3,2,160750.3672
2009,10110,4,3,182477.505
2010,12774,3,3,187720.3592
2011,13072,2,3,187201.9421
2012,9260,2,3,176385.1022
2013,8453,3,3,175901.7878
2014,8480,4,3,182584.2802
2015,14565,3,3,195664.6861
2016,8450,4,3,181420.3465
2017,8285,4,3,176676.05
2018,9100,2,3,181594.6789
2019,8100,2,3,178521.748
2020,8450,2,3,175895.8837
2021,6360,1,3,168468.0059
2022,19508,3,3,200973.1294
2023,10759,2,4,197030.642
2024,9205,4,4,192867.4178
2025,11025,4,4,196449.2476
2026,3435,2,1,141684.1964
2027,3180,4,2,153353.3341
2028,3180,2,2,151143.549
2029,2280,4,3,163753.0871
2030,4765,3,2,158682.46
2031,4538,3,1,144959.8353
2032,4385,3,2,160144.3905
2033,4109,3,2,156286.5343
2034,2160,4,3,165726.7076
2035,10646,4,3,182427.481
2036,2645,4,3,173310.5615
2037,2645,4,3,173310.5615
2038,3951,4,2,151556.014
2039,11064,3,1,158908.1461
2040,24572,4,3,209834.3831
2041,16280,4,3,192410.5166
2042,7500,3,3,174026.2473
2043,11104,3,4,195499.8301
2044,11050,2,4,200918.0188
2045,15387,2,4,207243.616
2046,9750,2,4,196149.7839
2047,8814,2,4,192097.9149
2048,8125,2,3,178570.9489
2049,11072,2,6,228617.9683
2050,13355,2,4,199929.8844
2051,7785,1,2,160206.3656
2052,9900,2,3,179854.4319
2053,11332,2,3,185987.3405
2054,4882,1,2,161122.5056
2055,9600,2,3,175949.3427
2056,9600,2,3,183683.5906
2057,7584,1,3,176401.3476
2058,14670,3,4,205832.5325
2059,8856,2,3,177799.7998
2060,9840,3,2,167565.3621
2061,13200,2,3,186348.9584
2062,10425,2,3,179782.7595
2063,11556,2,2,169837.6233
2064,9373,2,3,178817.2757
2065,12774,1,2,174444.4791
2066,14250,2,3,192834.9689
2067,8838,3,4,196564.718
2068,12436,2,5,206977.567
2069,10122,1,1,157054.2539
2070,7506,1,3,175142.9481
2071,5400,1,2,159932.1644
2072,10836,2,3,182801.4083
2073,10180,3,3,181510.3752
2074,11355,2,3,181613.0351
2075,12929,2,3,186920.5126
2076,7200,1,2,157950.1706
2077,8000,3,3,176115.159
2078,8000,2,3,182744.5143
2079,8064,2,3,180660.6837
2080,6390,2,2,160775.6298
2081,7200,1,4,186711.7158
2082,8513,2,6,223581.7582
2083,7200,2,3,172330.9432
2084,7200,2,2,163474.6334
2085,7590,1,3,175308.2633
2086,9836,2,3,187462.7253
2087,9184,1,3,180655.1015
2088,4800,1,2,152121.986
2089,4800,1,2,159856.2339
2090,6000,2,4,186559.8549
2091,11426,2,3,183962.551
2092,7628,2,2,162107.1687
2093,7308,1,2,162582.289
2094,5400,2,2,154407.7016
2095,10800,2,3,181625.6664
2096,6756,1,2,164810.6095
2097,5914,1,3,176429.4012
2098,9000,1,3,179188.0899
2099,7311,1,1,145997.6354
2100,12205,2,5,218676.7683
2101,9142,2,4,188323.8612
2102,5350,1,3,168690.0723
2103,9143,1,2,165088.7468
2104,9600,2,4,191435.0079
2105,6000,2,3,168864.4047
2106,11340,1,2,176041.8824
2107,10800,2,5,215911.6744
2108,9750,2,2,167388.2386
2109,8516,1,2,163854.7868
2110,7111,1,2,163299.478
2111,7425,2,3,178298.2146
2112,7010,2,3,176376.5862
2113,5000,1,3,170211.044
2114,5870,2,3,170818.3448
2115,6000,2,3,174388.8674
2116,6000,1,2,161112.9874
2117,6000,2,3,172179.0823
2118,6000,2,2,157798.3097
2119,5000,1,3,169106.1514
2120,5520,2,3,170129.5314
2121,5940,1,2,157680.2274
2122,6240,2,2,162690.2091
2123,6120,1,1,146968.3794
2124,6240,2,4,181507.7214
2125,6120,2,4,191215.5898
2126,9144,2,4,189432.6898
2127,8094,2,5,207271.485
2128,4347,1,3,170030.8075
2129,6291,1,1,148409.8065
2130,10266,2,4,193850.614
2131,6876,2,4,193808.3193
2132,10320,2,2,166300.2354
2133,7200,1,2,163474.6334
2134,7006,3,3,177473.6066
2135,10320,1,1,157443.9255
2136,10320,2,3,180681.008
2137,9488,1,3,183463.1703
2138,11235,2,3,182481.7631
2139,13014,2,3,193717.1512
2140,10265,2,3,182782.551
2141,7703,2,3,175530.6516
2142,9981,1,3,177804.0579
2143,7400,2,2,159448.6708
2144,12900,2,3,181338.9767
2145,9239,2,3,178553.5585
2146,14175,2,1,162820.9283
2147,10532,3,3,188832.48
2148,8375,3,2,164682.1859
2149,10200,1,3,181549.7359
2150,20270,3,3,199158.097
2151,5190,1,2,152889.521
2152,19550,2,2,181150.5517
2153,9571,2,3,181416.7324
2154,9350,2,2,164391.2382
2155,9360,2,3,185421.0465
2156,9771,4,4,193981.3276
2157,9938,4,3,178824.3248
2158,14171,3,4,209270.0516
2159,10541,3,3,177801.2668
2160,10616,3,3,179053.7622
2161,9345,2,3,178762.1706
2162,11778,3,3,184655.3005
2163,11778,4,3,191284.6558
2164,11454,3,3,179598.0858
2165,11500,3,2,167517.6281
2166,9750,2,3,182873.9038
2167,8696,3,3,177484.9137
2168,13142,4,3,188444.5973
2169,8998,3,3,179184.1538
2170,12192,4,3,184365.1758
2171,12250,2,3,184479.322
2172,9216,2,3,182927.8639
2173,14330,3,2,178611.6394
2174,10400,3,3,181943.3436
2175,9720,4,3,175080.6148
2176,14860,3,3,190720.7946
2177,10905,3,4,198422.8681
2178,11690,3,3,184482.1131
2179,4426,2,1,139214.9522
2180,10126,4,2,169233.1136
2181,9750,2,3,180664.1187
2182,11058,2,3,178818.7426
2183,9627,2,3,180422.05
2184,9825,1,3,178601.9365
2185,12102,2,3,183083.1598
2186,6500,3,3,173163.1015
2187,9638,2,3,185968.1612
2188,7200,2,3,171226.0507
2189,47007,4,5,281643.9761
2190,6012,2,2,160031.7113
2191,6845,2,2,162775.9798
2192,6931,2,2,160735.446
2193,12180,2,2,166646.109
2194,8050,2,4,188384.5484
2195,9520,1,2,165830.6973
2196,7692,1,3,182138.3585
2197,5142,2,3,171595.398
2198,7290,2,2,160337.0792
2199,7804,6,4,191215.0887
2200,8969,2,2,166956.0932
2201,15564,1,3,186581.8309
2202,7609,3,3,176450.5486
2203,9650,1,4,193743.1949
2204,11700,2,4,198882.5661
2205,9260,1,3,176385.1022
2206,7801,2,2,162447.6393
2207,9670,2,4,193782.5557
2208,12392,4,3,183653.8909
2209,26073,3,3,210578.6235
2210,1879,1,2,158527.1641
2211,7000,2,2,163081.0257
2212,6000,1,3,174388.8674
2213,8155,1,4,191905.8701
2214,6000,2,3,174388.8674
2215,7392,1,2,161642.7116
2216,9000,2,4,186939.5072
2217,14584,1,2,172482.1658
2218,5280,1,2,159695.9998
2219,5150,1,2,157230.3697
2220,9000,2,3,179188.0899
2221,3843,4,2,157972.8212
2222,3811,4,2,156804.9514
2223,23730,4,3,211491.9725
2224,11050,3,3,186537.2462
2225,10260,4,4,200468.1611
2226,9990,3,3,182241.3404
2227,4084,3,2,157342.2259
2228,11563,3,3,182022.3871
2229,12852,4,3,181244.5109
2230,9802,3,3,178556.6716
2231,12018,3,3,189547.1999
2232,12890,2,3,187948.6517
2233,18265,2,3,194107.2876
2234,11202,3,3,183521.7104
2235,7915,3,3,183682.1236
2236,11449,3,3,178483.3531
2237,11447,4,3,184003.8798
2238,8940,4,2,171318.5903
2239,9278,1,2,162039.7543
2240,4500,3,2,154846.2522
2241,14137,2,3,194822.3657
2242,4224,1,3,169788.7388
2243,2665,2,4,178891.5545
2244,1974,2,2,152084.7724
2245,1596,2,1,139169.8664
2246,17979,2,3,192439.536
2247,1477,3,3,161067.8598
2248,6490,2,2,158762.6485
2249,6600,1,3,175569.6904
2250,12395,1,3,183659.795
2251,56600,2,4,280618.1326
2252,10667,2,3,180051.8092
2253,8872,3,3,176519.1803
2254,10147,3,3,179028.4292
2255,8637,4,3,177161.5839
2256,7875,3,3,180081.5088
2257,7500,4,5,205895.2546
2258,9556,2,3,183389.7813
2259,7655,3,3,178543.6479
2260,18160,2,3,194798.3205
2261,4740,3,2,162845.6137
2262,5118,2,1,148103.867
2263,12328,5,4,201016.1711
2264,51974,4,4,277936.1269
2265,41600,3,3,249768.2798
2266,8035,3,2,161596.0522
2267,14082,3,1,158011.1149
2268,13870,3,3,194089.6839
2269,10960,3,3,181733.3369
2270,12090,3,3,182852.3277
2271,12299,3,3,189893.0031
2272,11339,4,4,194650.211
2273,11850,2,3,187904.4613
2274,10400,3,2,171774.9256
2275,13001,3,2,177998.6859
2276,8991,3,3,175648.4843
2277,8000,4,4,196918.0714
2278,9457,2,3,184299.8381
2279,7920,1,3,182379.8557
2280,17199,1,2,184050.7258
2281,4113,2,2,158296.976
2282,10943,3,2,175053.3556
2283,2205,2,3,162293.3761
2284,2058,2,4,186328.88
2285,2304,2,2,151422.1169
2286,7150,2,3,181969.3587
2287,12469,3,3,189122.677
2288,11825,2,3,185645.4752
2289,14333,4,2,182829.8981
2290,13641,4,3,195848.7882
2291,13440,3,4,198785.0596
2292,15431,4,2,181676.1266
2293,13891,3,3,194131.0127
2294,13654,3,4,201416.0049
2295,17169,5,2,185096.5772
2296,16659,3,3,195158.9726
2297,9709,4,3,184795.7837
2298,13615,3,3,189168.2639
2299,13069,3,5,216855.2601
2300,14277,4,3,184946.6425
2301,12568,4,3,189317.5128
2302,9926,3,3,180803.2778
2303,9254,3,3,175061.1859
2304,10732,3,3,179074.8391
2305,3901,3,1,145708.7643
2306,3903,3,1,142398.0228
2307,6289,3,2,161474.5349
2308,4590,2,2,157025.9452
2309,7841,3,2,163424.0378
2310,6240,2,2,164692.7786
2311,3242,3,2,152163.2444
2312,15810,3,3,192383.2155
2313,10237,3,3,182520.2303
2314,13204,2,3,187254.5075
2315,8857,3,3,176489.6597
2316,9729,4,3,181520.4668
2317,12216,3,3,186414.9782
2318,8229,3,3,185197.7646
2319,7713,3,3,178657.7941
2320,7697,2,3,179731.198
2321,3621,3,2,161748.2713
2322,3710,2,2,158608.7491
2323,16219,3,2,178807.3706
2324,11084,4,3,184187.1588
2325,10936,3,3,181686.104
2326,11950,3,3,190311.0502
2327,7875,3,4,192252.4964
2328,8740,3,4,193954.8495
2329,9487,4,3,181044.2016
2330,9649,3,3,180258.1312
2331,12191,4,4,199641.6573
2332,10557,4,4,197530.7752
2333,11002,4,4,191777.1969
2334,10790,3,4,195779.543
2335,11762,4,4,202112.0465
2336,9044,3,4,192343.3481
2337,9910,2,3,185191.3594
